genres,cluster
indie punk,81
indie quebecois,46
indie r&b,29
indie rock,93
indie rock mexicano,105
indie rockism,93
indie shoegaze,122
indie singer-songwriter,18
indie soul,29
indie surf,81
indie triste,2
indiecoustica,46
indietronica,93
indonesian hip hop,29
indonesian indie,32
indonesian pop,10
indonesian r&b,29
indonesian worship,142
industrial,144
industrial hardcore,57
industrial hip hop,35
industrial metal,144
industrial rock,144
indy indie,24
instrumental acoustic guitar,116
instrumental bluegrass,131
instrumental funk,56
instrumental grime,43
instrumental math rock,129
instrumental post-rock,71
instrumental progressive metal,132
instrumental rock,77
instrumental soul,116
instrumental stoner rock,109
instrumental surf,70
intelligent dance music,71
iowa hip hop,88
irish accordion,83
irish ballad,20
irish banjo,86
irish classical,124
irish country,2
irish dance,31
irish fiddle,53
irish folk,26
irish hip hop,29
irish indie,27
irish metal,115
irish pop,24
irish pub song,48
irish rock,89
irish singer-songwriter,2
iskelma,106
islamic recitation,119
isle of wight indie,34
israeli classical,97
israeli classical piano,120
israeli folk,20
israeli hip hop,8
israeli mediterranean,129
israeli pop,12
israeli rock,18
israeli singer-songwriter,82
israeli techno,103
italian adult pop,46
italian baritone,74
italian baroque,7
italian baroque ensemble,128
italian bass,74
italian blues,118
italian classical guitar,110
italian classical piano,120
italian contemporary jazz,89
italian disco,67
italian gothic,90
italian gothic metal,90
italian indie pop,12
italian jazz,27
italian library music,63
italian mandolin,139
italian metal,90
italian mezzo-soprano,74
italian modern prog,122
italian opera,124
italian orchestra,124
italian pop rock,66
italian power metal,60
italian progressive metal,132
italian progressive rock,31
italian renaissance,7
italian romanticism,74
italian soprano,74
italian soundtrack,128
italian techno,25
italian tenor,74
italian violin,15
italo dance,8
italo house,67
j-acoustic,117
j-ambient,141
j-dance,93
j-division,9
j-idol,8
j-metal,105
j-pixie,105
j-pop,59
j-pop girl group,19
j-poprock,144
j-punk,70
j-reggae,85
j-rock,59
jacksonville indie,39
jam band,39
jamgrass,39
jamtronica,88
jangle pop,70
japanese alternative rock,93
japanese chillhop,35
japanese city pop,102
japanese classical,27
japanese classical performance,7
japanese classical piano,61
japanese concert band,1
japanese dream pop,45
japanese electronic,98
japanese electropop,17
japanese emo,59
japanese experimental,56
japanese folk,18
japanese garage rock,70
japanese girl punk,143
japanese heavy metal,90
japanese idm,98
japanese indie folk,96
japanese indie rock,105
japanese instrumental,131
japanese jazz,116
japanese jazz fusion,45
japanese jazztronica,105
japanese metalcore,105
japanese new wave,23
japanese piano,16
japanese pop punk,144
japanese post-hardcore,105
japanese power metal,105
japanese prog,9
japanese psychedelic,56
japanese punk rock,144
japanese r&b,85
japanese rockabilly,50
japanese singer-songwriter,39
japanese soundtrack,63
japanese traditional,7
japanese vgm,98
japanese vocal jazz,103
jawaiian,26
jazz,13
jazz accordion,96
jazz blues,82
jazz boom bap,35
jazz brass,13
jazz chileno,100
jazz clarinet,13
jazz colombiano,135
jazz cubano,53
jazz double bass,80
jazz drums,13
jazz flute,13
jazz funk,116
jazz fusion,13
jazz guitar,131
jazz harp,13
jazz metal,77
